id,fruit,side,day,camera_type,header_file,data_file,record_id,init_weight,end_weight,storage_days,firmness,comment,ripeness_state,ripeness_state_fine,img_shape,ripeness_state_y,is_damaged
10,Kiwi,back,day_01,NIR,Kiwi/NIR/day_01/kiwi_day_01_03_back.hdr,Kiwi/NIR/day_01/kiwi_day_01_03_back.bin,10,120,120.0,0,900.0,,perfect,ripe,"(153, 76, 252)",1,0
11,Kiwi,back,day_01,VIS,Kiwi/VIS/day_01/kiwi_day_01_03_back.hdr,Kiwi/VIS/day_01/kiwi_day_01_03_back.bin,11,120,120.0,0,900.0,,perfect,ripe,"(210, 244, 224)",1,0
12,Kiwi,front,day_01,NIR,Kiwi/NIR/day_01/kiwi_day_01_28_front.hdr,Kiwi/NIR/day_01/kiwi_day_01_28_front.bin,12,114,114.0,0,900.0,,perfect,ripe,"(162, 73, 252)",1,0
13,Kiwi,front,day_01,VIS,Kiwi/VIS/day_01/kiwi_day_01_28_front.hdr,Kiwi/VIS/day_01/kiwi_day_01_28_front.bin,13,114,114.0,0,900.0,,perfect,ripe,"(224, 234, 224)",1,0
14,Kiwi,back,day_01,NIR,Kiwi/NIR/day_01/kiwi_day_01_28_back.hdr,Kiwi/NIR/day_01/kiwi_day_01_28_back.bin,14,114,114.0,0,900.0,,perfect,ripe,"(161, 73, 252)",1,0
15,Kiwi,back,day_01,VIS,Kiwi/VIS/day_01/kiwi_day_01_28_back.hdr,Kiwi/VIS/day_01/kiwi_day_01_28_back.bin,15,114,114.0,0,900.0,,perfect,ripe,"(225, 233, 224)",1,0
16,Avocado,front,day_02,NIR,Avocado/NIR/day_02/avocado_day_02_09_front.hdr,Avocado/NIR/day_02/avocado_day_02_09_front.bin,16,183,180.0,1,2100.0,,unripe,unripe,"(245, 182, 252)",0,0
17,Avocado,front,day_02,VIS,Avocado/VIS/day_02/avocado_day_02_09_front.hdr,Avocado/VIS/day_02/avocado_day_02_09_front.bin,17,183,180.0,1,2100.0,,unripe,unripe,"(311, 265, 224)",0,0
18,Avocado,back,day_02,NIR,Avocado/NIR/day_02/avocado_day_02_09_back.hdr,Avocado/NIR/day_02/avocado_day_02_09_back.bin,18,183,180.0,1,2100.0,,unripe,unripe,"(241, 182, 252)",0,0
19,Avocado,back,day_02,VIS,Avocado/VIS/day_02/avocado_day_02_09_back.hdr,Avocado/VIS/day_02/avocado_day_02_09_back.bin,19,183,180.0,1,2100.0,,unripe,unripe,"(307, 268, 224)",0,0
20,Avocado,front,day_02,NIR,Avocado/NIR/day_02/avocado_day_02_26_front.hdr,Avocado/NIR/day_02/avocado_day_02_26_front.bin,20,245,242.0,1,21000.0,,unripe,unripe,"(243, 212, 252)",0,0
21,Avocado,front,day_02,VIS,Avocado/VIS/day_02/avocado_day_02_26_front.hdr,Avocado/VIS/day_02/avocado_day_02_26_front.bin,21,245,242.0,1,21000.0,,unripe,unripe,"(306, 311, 224)",0,0
22,Avocado,back,day_02,NIR,Avocado/NIR/day_02/avocado_day_02_26_back.hdr,Avocado/NIR/day_02/avocado_day_02_26_back.bin,22,245,242.0,1,21000.0,,unripe,unripe,"(240, 209, 252)",0,0
23,Avocado,back,day_02,VIS,Avocado/VIS/day_02/avocado_day_02_26_back.hdr,Avocado/VIS/day_02/avocado_day_02_26_back.bin,23,245,242.0,1,21000.0,,unripe,unripe,"(307, 309, 224)",0,0
24,Kiwi,front,day_02,NIR,Kiwi/NIR/day_02/kiwi_day_02_10_front.hdr,Kiwi/NIR/day_02/kiwi_day_02_10_front.bin,24,121,120.0,1,1150.0,,perfect,ripe,"(173, 160, 252)",1,0
25,Kiwi,front,day_02,VIS,Kiwi/VIS/day_02/kiwi_day_02_10_front.hdr,Kiwi/VIS/day_02/kiwi_day_02_10_front.bin,25,121,120.0,1,1150.0,,perfect,ripe,"(220, 236, 224)",1,0
26,Kiwi,back,day_02,NIR,Kiwi/NIR/day_02/kiwi_day_02_10_back.hdr,Kiwi/NIR/day_02/kiwi_day_02_10_back.bin,26,121,120.0,1,1150.0,,perfect,ripe,"(169, 166, 252)",1,0
27,Kiwi,back,day_02,VIS,Kiwi/VIS/day_02/kiwi_day_02_10_back.hdr,Kiwi/VIS/day_02/kiwi_day_02_10_back.bin,27,121,120.0,1,1150.0,,perfect,ripe,"(224, 249, 224)",1,0
28,Kiwi,front,day_02,NIR,Kiwi/NIR/day_02/kiwi_day_02_15_front.hdr,Kiwi/NIR/day_02/kiwi_day_02_15_front.bin,28,120,119.0,1,1350.0,,perfect,ripe,"(184, 161, 252)",1,0
29,Kiwi,front,day_02,VIS,Kiwi/VIS/day_02/kiwi_day_02_15_front.hdr,Kiwi/VIS/day_02/kiwi_day_02_15_front.bin,29,120,119.0,1,1350.0,,perfect,ripe,"(240, 242, 224)",1,0
30,Kiwi,back,day_02,NIR,Kiwi/NIR/day_02/kiwi_day_02_15_back.hdr,Kiwi/NIR/day_02/kiwi_day_02_15_back.bin,30,120,119.0,1,1350.0,,perfect,ripe,"(185, 167, 252)",1,0
31,Kiwi,back,day_02,VIS,Kiwi/VIS/day_02/kiwi_day_02_15_back.hdr,Kiwi/VIS/day_02/kiwi_day_02_15_back.bin,31,120,119.0,1,1350.0,,perfect,ripe,"(241, 244, 224)",1,0
32,Kiwi,front,day_02,NIR,Kiwi/NIR/day_02/kiwi_day_02_30_front.hdr,Kiwi/NIR/day_02/kiwi_day_02_30_front.bin,32,131,130.0,1,1550.0,Near ripe,unripe,unripe,"(175, 168, 252)",0,0
33,Kiwi,front,day_02,VIS,Kiwi/VIS/day_02/kiwi_day_02_30_front.hdr,Kiwi/VIS/day_02/kiwi_day_02_30_front.bin,33,131,130.0,1,1550.0,Near ripe,unripe,unripe,"(228, 243, 224)",0,0
34,Kiwi,back,day_02,NIR,Kiwi/NIR/day_02/kiwi_day_02_30_back.hdr,Kiwi/NIR/day_02/kiwi_day_02_30_back.bin,34,131,130.0,1,1550.0,Near ripe,unripe,unripe,"(174, 165, 252)",0,0
35,Kiwi,back,day_02,VIS,Kiwi/VIS/day_02/kiwi_day_02_30_back.hdr,Kiwi/VIS/day_02/kiwi_day_02_30_back.bin,35,131,130.0,1,1550.0,Near ripe,unripe,unripe,"(230, 246, 224)",0,0
36,Kiwi,front,day_02,NIR,Kiwi/NIR/day_02/kiwi_day_02_31_front.hdr,Kiwi/NIR/day_02/kiwi_day_02_31_front.bin,36,128,127.0,1,1375.0,Near ripe,unripe,unripe,"(178, 160, 252)",0,0
37,Kiwi,front,day_02,VIS,Kiwi/VIS/day_02/kiwi_day_02_31_front.hdr,Kiwi/VIS/day_02/kiwi_day_02_31_front.bin,37,128,127.0,1,1375.0,Near ripe,unripe,unripe,"(239, 238, 224)",0,0
38,Kiwi,back,day_02,NIR,Kiwi/NIR/day_02/kiwi_day_02_31_back.hdr,Kiwi/NIR/day_02/kiwi_day_02_31_back.bin,38,128,127.0,1,1375.0,Near ripe,unripe,unripe,"(181, 152, 252)",0,0
39,Kiwi,back,day_02,VIS,Kiwi/VIS/day_02/kiwi_day_02_31_back.hdr,Kiwi/VIS/day_02/kiwi_day_02_31_back.bin,39,128,127.0,1,1375.0,Near ripe,unripe,unripe,"(238, 238, 224)",0,0
40,Kiwi,front,day_02,NIR,Kiwi/NIR/day_02/kiwi_day_02_33_front.hdr,Kiwi/NIR/day_02/kiwi_day_02_33_front.bin,40,133,132.0,1,0.0,Damaged,overripe,overripe,"(186, 145, 252)",2,1
41,Kiwi,front,day_02,VIS,Kiwi/VIS/day_02/kiwi_day_02_33_front.hdr,Kiwi/VIS/day_02/kiwi_day_02_33_front.bin,41,133,132.0,1,0.0,Damaged,overripe,overripe,"(243, 241, 224)",2,1
42,Kiwi,back,day_02,NIR,Kiwi/NIR/day_02/kiwi_day_02_33_back.hdr,Kiwi/NIR/day_02/kiwi_day_02_33_back.bin,42,133,132.0,1,0.0,Damaged,overripe,overripe,"(187, 155, 252)",2,1
43,Kiwi,back,day_02,VIS,Kiwi/VIS/day_02/kiwi_day_02_33_back.hdr,Kiwi/VIS/day_02/kiwi_day_02_33_back.bin,43,133,132.0,1,0.0,Damaged,overripe,overripe,"(242, 244, 224)",2,1
44,Avocado,front,day_03,NIR,Avocado/NIR/day_03/avocado_day_03_05_front.hdr,Avocado/NIR/day_03/avocado_day_03_05_front.bin,44,231,224.0,2,1200.0,,perfect,ripe,"(329, 189, 252)",1,0
45,Avocado,front,day_03,VIS,Avocado/VIS/day_03/avocado_day_03_05_front.hdr,Avocado/VIS/day_03/avocado_day_03_05_front.bin,45,231,224.0,2,1200.0,,perfect,ripe,"(402, 281, 224)",1,0
46,Avocado,back,day_03,VIS,Avocado/VIS/day_03/avocado_day_03_05_back.hdr,Avocado/VIS/day_03/avocado_day_03_05_back.bin,46,231,224.0,2,1200.0,,perfect,ripe,"(369, 282, 224)",1,0
47,Avocado,back,day_03,NIR,Avocado/NIR/day_03/avocado_day_03_13_back.hdr,Avocado/NIR/day_03/avocado_day_03_13_back.bin,47,240,231.0,2,4450.0,,unripe,unripe,"(308, 197, 252)",0,0
48,Avocado,front,day_03,VIS,Avocado/VIS/day_03/avocado_day_03_17_front.hdr,Avocado/VIS/day_03/avocado_day_03_17_front.bin,48,242,235.0,2,4650.0,,unripe,unripe,"(342, 305, 224)",0,0
49,Avocado,back,day_03,VIS,Avocado/VIS/day_03/avocado_day_03_17_back.hdr,Avocado/VIS/day_03/avocado_day_03_17_back.bin,49,242,235.0,2,4650.0,,unripe,unripe,"(334, 302, 224)",0,0
50,Kiwi,front,day_03,VIS,Kiwi/VIS/day_03/kiwi_day_03_07_front.hdr,Kiwi/VIS/day_03/kiwi_day_03_07_front.bin,50,123,121.0,2,150.0,Could be also ripe,overripe,overripe,"(237, 227, 224)",2,0
51,Kiwi,back,day_03,NIR,Kiwi/NIR/day_03/kiwi_day_03_07_back.hdr,Kiwi/NIR/day_03/kiwi_day_03_07_back.bin,51,123,121.0,2,150.0,Could be also ripe,overripe,overripe,"(206, 116, 252)",2,0
52,Kiwi,back,day_03,VIS,Kiwi/VIS/day_03/kiwi_day_03_07_back.hdr,Kiwi/VIS/day_03/kiwi_day_03_07_back.bin,52,123,121.0,2,150.0,Could be also ripe,overripe,overripe,"(236, 228, 224)",2,0
53,Kiwi,front,day_03,NIR,Kiwi/NIR/day_03/kiwi_day_03_17_front.hdr,Kiwi/NIR/day_03/kiwi_day_03_17_front.bin,53,117,115.0,2,1050.0,,perfect,perfect,"(182, 172, 252)",1,0
54,Kiwi,front,day_03,VIS,Kiwi/VIS/day_03/kiwi_day_03_17_front.hdr,Kiwi/VIS/day_03/kiwi_day_03_17_front.bin,54,117,115.0,2,1050.0,,perfect,perfect,"(219, 258, 224)",1,0
55,Kiwi,back,day_03,NIR,Kiwi/NIR/day_03/kiwi_day_03_17_back.hdr,Kiwi/NIR/day_03/kiwi_day_03_17_back.bin,55,117,115.0,2,1050.0,,perfect,perfect,"(184, 174, 252)",1,0
56,Kiwi,front,day_03,NIR,Kiwi/NIR/day_03/kiwi_day_03_19_front.hdr,Kiwi/NIR/day_03/kiwi_day_03_19_front.bin,56,133,131.0,2,2200.0,,unripe,unripe,"(196, 175, 252)",0,0
57,Kiwi,back,day_03,NIR,Kiwi/NIR/day_03/kiwi_day_03_19_back.hdr,Kiwi/NIR/day_03/kiwi_day_03_19_back.bin,57,133,131.0,2,2200.0,,unripe,unripe,"(200, 173, 252)",0,0
58,Kiwi,back,day_03,VIS,Kiwi/VIS/day_03/kiwi_day_03_19_back.hdr,Kiwi/VIS/day_03/kiwi_day_03_19_back.bin,58,133,131.0,2,2200.0,,unripe,unripe,"(236, 259, 224)",0,0
59,Kiwi,front,day_03,NIR,Kiwi/NIR/day_03/kiwi_day_03_23_front.hdr,Kiwi/NIR/day_03/kiwi_day_03_23_front.bin,59,127,126.0,2,1750.0,,perfect,ripe,"(209, 157, 252)",1,0
60,Kiwi,front,day_03,VIS,Kiwi/VIS/day_03/kiwi_day_03_23_front.hdr,Kiwi/VIS/day_03/kiwi_day_03_23_front.bin,60,127,126.0,2,1750.0,,perfect,ripe,"(243, 231, 224)",1,0
61,Kiwi,back,day_03,NIR,Kiwi/NIR/day_03/kiwi_day_03_23_back.hdr,Kiwi/NIR/day_03/kiwi_day_03_23_back.bin,61,127,126.0,2,1750.0,,perfect,ripe,"(208, 156, 252)",1,0
62,Kiwi,front,day_03,NIR,Kiwi/NIR/day_03/kiwi_day_03_39_front.hdr,Kiwi/NIR/day_03/kiwi_day_03_39_front.bin,62,132,131.0,2,2400.0,Could be also ripe,unripe,unripe,"(196, 165, 252)",0,0
63,Kiwi,back,day_03,NIR,Kiwi/NIR/day_03/kiwi_day_03_39_back.hdr,Kiwi/NIR/day_03/kiwi_day_03_39_back.bin,63,132,131.0,2,2400.0,Could be also ripe,unripe,unripe,"(197, 165, 252)",0,0
64,Kiwi,back,day_03,VIS,Kiwi/VIS/day_03/kiwi_day_03_39_back.hdr,Kiwi/VIS/day_03/kiwi_day_03_39_back.bin,64,132,131.0,2,2400.0,Could be also ripe,unripe,unripe,"(229, 243, 224)",0,0
65,Avocado,front,day_04,NIR,Avocado/NIR/day_04/avocado_day_04_08_front.hdr,Avocado/NIR/day_04/avocado_day_04_08_front.bin,65,253,244.0,3,1300.0,,perfect,ripe,"(281, 210, 252)",1,0
66,Avocado,front,day_04,VIS,Avocado/VIS/day_04/avocado_day_04_08_front.hdr,Avocado/VIS/day_04/avocado_day_04_08_front.bin,66,253,244.0,3,1300.0,,perfect,ripe,"(320, 310, 224)",1,0
67,Avocado,back,day_04,NIR,Avocado/NIR/day_04/avocado_day_04_08_back.hdr,Avocado/NIR/day_04/avocado_day_04_08_back.bin,67,253,244.0,3,1300.0,,perfect,ripe,"(277, 210, 252)",1,0
68,Avocado,back,day_04,VIS,Avocado/VIS/day_04/avocado_day_04_08_back.hdr,Avocado/VIS/day_04/avocado_day_04_08_back.bin,68,253,244.0,3,1300.0,,perfect,ripe,"(321, 313, 224)",1,0
69,Avocado,front,day_04,NIR,Avocado/NIR/day_04/avocado_day_04_12_front.hdr,Avocado/NIR/day_04/avocado_day_04_12_front.bin,69,229,216.0,3,750.0,,perfect,perfect,"(316, 185, 252)",1,0
70,Avocado,front,day_04,VIS,Avocado/VIS/day_04/avocado_day_04_12_front.hdr,Avocado/VIS/day_04/avocado_day_04_12_front.bin,70,229,216.0,3,750.0,,perfect,perfect,"(363, 271, 224)",1,0
71,Avocado,back,day_04,NIR,Avocado/NIR/day_04/avocado_day_04_12_back.hdr,Avocado/NIR/day_04/avocado_day_04_12_back.bin,71,229,216.0,3,750.0,,perfect,perfect,"(319, 190, 252)",1,0
72,Avocado,back,day_04,VIS,Avocado/VIS/day_04/avocado_day_04_12_back.hdr,Avocado/VIS/day_04/avocado_day_04_12_back.bin,72,229,216.0,3,750.0,,perfect,perfect,"(366, 272, 224)",1,0
73,Avocado,front,day_04,NIR,Avocado/NIR/day_04/avocado_day_04_16_front.hdr,Avocado/NIR/day_04/avocado_day_04_16_front.bin,73,232,222.0,3,1200.0,,perfect,perfect,"(299, 192, 252)",1,0
74,Avocado,front,day_04,VIS,Avocado/VIS/day_04/avocado_day_04_16_front.hdr,Avocado/VIS/day_04/avocado_day_04_16_front.bin,74,232,222.0,3,1200.0,,perfect,perfect,"(350, 281, 224)",1,0
75,Avocado,back,day_04,NIR,Avocado/NIR/day_04/avocado_day_04_16_back.hdr,Avocado/NIR/day_04/avocado_day_04_16_back.bin,75,232,222.0,3,1200.0,,perfect,perfect,"(311, 191, 252)",1,0
76,Avocado,front,day_04,NIR,Avocado/NIR/day_04/avocado_day_04_18_front.hdr,Avocado/NIR/day_04/avocado_day_04_18_front.bin,76,246,233.0,3,1000.0,,perfect,perfect,"(337, 190, 252)",1,0
77,Avocado,front,day_04,VIS,Avocado/VIS/day_04/avocado_day_04_18_front.hdr,Avocado/VIS/day_04/avocado_day_04_18_front.bin,77,246,233.0,3,1000.0,,perfect,perfect,"(386, 284, 224)",1,0
78,Avocado,back,day_04,NIR,Avocado/NIR/day_04/avocado_day_04_18_back.hdr,Avocado/NIR/day_04/avocado_day_04_18_back.bin,78,246,233.0,3,1000.0,,perfect,perfect,"(329, 190, 252)",1,0
79,Kiwi,front,day_04,NIR,Kiwi/NIR/day_04/kiwi_day_04_12_front.hdr,Kiwi/NIR/day_04/kiwi_day_04_12_front.bin,79,124,122.0,3,1150.0,,perfect,perfect,"(205, 163, 252)",1,0
80,Kiwi,front,day_04,VIS,Kiwi/VIS/day_04/kiwi_day_04_12_front.hdr,Kiwi/VIS/day_04/kiwi_day_04_12_front.bin,80,124,122.0,3,1150.0,,perfect,perfect,"(236, 240, 224)",1,0
81,Kiwi,front,day_04,NIR,Kiwi/NIR/day_04/kiwi_day_04_13_front.hdr,Kiwi/NIR/day_04/kiwi_day_04_13_front.bin,81,120,117.0,3,800.0,,overripe,near_overripe,"(192, 166, 252)",2,0
82,Kiwi,front,day_04,VIS,Kiwi/VIS/day_04/kiwi_day_04_18_front.hdr,Kiwi/VIS/day_04/kiwi_day_04_18_front.bin,82,133,132.0,3,2050.0,no comment,unripe,unripe,"(230, 272, 224)",0,0
83,Kiwi,back,day_04,NIR,Kiwi/NIR/day_04/kiwi_day_04_18_back.hdr,Kiwi/NIR/day_04/kiwi_day_04_18_back.bin,83,133,132.0,3,2050.0,no comment,unripe,unripe,"(191, 186, 252)",0,0
84,Kiwi,front,day_04,NIR,Kiwi/NIR/day_04/kiwi_day_04_21_front.hdr,Kiwi/NIR/day_04/kiwi_day_04_21_front.bin,84,125,123.0,3,1450.0,,perfect,ripe,"(199, 162, 252)",1,0
85,Kiwi,front,day_04,VIS,Kiwi/VIS/day_04/kiwi_day_04_21_front.hdr,Kiwi/VIS/day_04/kiwi_day_04_21_front.bin,85,125,123.0,3,1450.0,,perfect,ripe,"(230, 242, 224)",1,0
86,Kiwi,back,day_04,NIR,Kiwi/NIR/day_04/kiwi_day_04_21_back.hdr,Kiwi/NIR/day_04/kiwi_day_04_21_back.bin,86,125,123.0,3,1450.0,,perfect,ripe,"(202, 165, 252)",1,0
87,Kiwi,back,day_04,VIS,Kiwi/VIS/day_04/kiwi_day_04_21_back.hdr,Kiwi/VIS/day_04/kiwi_day_04_21_back.bin,87,125,123.0,3,1450.0,,perfect,ripe,"(232, 242, 224)",1,0
88,Kiwi,front,day_04,NIR,Kiwi/NIR/day_04/kiwi_day_04_22_front.hdr,Kiwi/NIR/day_04/kiwi_day_04_22_front.bin,88,127,124.0,3,1000.0,Damaged,overripe,overripe,"(193, 177, 252)",2,1
89,Kiwi,front,day_04,VIS,Kiwi/VIS/day_04/kiwi_day_04_22_front.hdr,Kiwi/VIS/day_04/kiwi_day_04_22_front.bin,89,127,124.0,3,1000.0,Damaged,overripe,overripe,"(226, 264, 224)",2,1
90,Kiwi,back,day_04,NIR,Kiwi/NIR/day_04/kiwi_day_04_22_back.hdr,Kiwi/NIR/day_04/kiwi_day_04_22_back.bin,90,127,124.0,3,1000.0,Damaged,overripe,overripe,"(190, 177, 252)",2,1
91,Kiwi,front,day_04,NIR,Kiwi/NIR/day_04/kiwi_day_04_29_front.hdr,Kiwi/NIR/day_04/kiwi_day_04_29_front.bin,91,132,130.0,3,1950.0,,perfect,ripe,"(205, 176, 252)",1,0
92,Kiwi,back,day_04,NIR,Kiwi/NIR/day_04/kiwi_day_04_29_back.hdr,Kiwi/NIR/day_04/kiwi_day_04_29_back.bin,92,132,130.0,3,1950.0,,perfect,ripe,"(202, 175, 252)",1,0
93,Kiwi,back,day_04,VIS,Kiwi/VIS/day_04/kiwi_day_04_29_back.hdr,Kiwi/VIS/day_04/kiwi_day_04_29_back.bin,93,132,130.0,3,1950.0,,perfect,ripe,"(238, 258, 224)",1,0
94,Avocado,front,day_05,NIR,Avocado/NIR/day_05/avocado_day_05_14_front.hdr,Avocado/NIR/day_05/avocado_day_05_14_front.bin,94,241,223.0,4,900.0,,perfect,perfect,"(363, 178, 252)",1,0
95,Avocado,front,day_05,VIS,Avocado/VIS/day_05/avocado_day_05_14_front.hdr,Avocado/VIS/day_05/avocado_day_05_14_front.bin,95,241,223.0,4,900.0,,perfect,perfect,"(419, 264, 224)",1,0
96,Avocado,back,day_05,NIR,Avocado/NIR/day_05/avocado_day_05_14_back.hdr,Avocado/NIR/day_05/avocado_day_05_14_back.bin,96,241,223.0,4,900.0,,perfect,perfect,"(361, 186, 252)",1,0
97,Avocado,back,day_05,VIS,Avocado/VIS/day_05/avocado_day_05_14_back.hdr,Avocado/VIS/day_05/avocado_day_05_14_back.bin,97,241,223.0,4,900.0,,perfect,perfect,"(415, 270, 224)",1,0
98,Avocado,front,day_05,NIR,Avocado/NIR/day_05/avocado_day_05_15_front.hdr,Avocado/NIR/day_05/avocado_day_05_15_front.bin,98,233,217.0,4,1000.0,,perfect,perfect,"(302, 193, 252)",1,0
99,Avocado,front,day_05,VIS,Avocado/VIS/day_05/avocado_day_05_15_front.hdr,Avocado/VIS/day_05/avocado_day_05_15_front.bin,99,233,217.0,4,1000.0,,perfect,perfect,"(347, 283, 224)",1,0
100,Avocado,back,day_05,NIR,Avocado/NIR/day_05/avocado_day_05_15_back.hdr,Avocado/NIR/day_05/avocado_day_05_15_back.bin,100,233,217.0,4,1000.0,,perfect,perfect,"(307, 191, 252)",1,0
101,Avocado,back,day_05,VIS,Avocado/VIS/day_05/avocado_day_05_15_back.hdr,Avocado/VIS/day_05/avocado_day_05_15_back.bin,101,233,217.0,4,1000.0,,perfect,perfect,"(352, 280, 224)",1,0
102,Avocado,front,day_05,NIR,Avocado/NIR/day_05/avocado_day_05_23_front.hdr,Avocado/NIR/day_05/avocado_day_05_23_front.bin,102,243,232.0,4,14500.0,,unripe,unripe,"(312, 197, 252)",0,0
103,Kiwi,front,day_05,VIS,Kiwi/VIS/day_05/kiwi_day_05_02_front.hdr,Kiwi/VIS/day_05/kiwi_day_05_02_front.bin,103,117,115.0,4,1400.0,no comment,perfect,perfect,"(217, 245, 224)",1,0
104,Kiwi,back,day_05,NIR,Kiwi/NIR/day_05/kiwi_day_05_02_back.hdr,Kiwi/NIR/day_05/kiwi_day_05_02_back.bin,104,117,115.0,4,1400.0,no comment,perfect,perfect,"(185, 162, 252)",1,0
105,Kiwi,back,day_05,VIS,Kiwi/VIS/day_05/kiwi_day_05_02_back.hdr,Kiwi/VIS/day_05/kiwi_day_05_02_back.bin,105,117,115.0,4,1400.0,no comment,perfect,perfect,"(216, 243, 224)",1,0
106,Kiwi,front,day_05,NIR,Kiwi/NIR/day_05/kiwi_day_05_05_front.hdr,Kiwi/NIR/day_05/kiwi_day_05_05_front.bin,106,119,117.0,4,1200.0,,perfect,perfect,"(182, 165, 252)",1,0
107,Kiwi,back,day_05,NIR,Kiwi/NIR/day_05/kiwi_day_05_05_back.hdr,Kiwi/NIR/day_05/kiwi_day_05_05_back.bin,107,119,117.0,4,1200.0,,perfect,perfect,"(183, 163, 252)",1,0
108,Kiwi,back,day_05,VIS,Kiwi/VIS/day_05/kiwi_day_05_05_back.hdr,Kiwi/VIS/day_05/kiwi_day_05_05_back.bin,108,119,117.0,4,1200.0,,perfect,perfect,"(214, 245, 224)",1,0
109,Kiwi,front,day_05,NIR,Kiwi/NIR/day_05/kiwi_day_05_08_front.hdr,Kiwi/NIR/day_05/kiwi_day_05_08_front.bin,109,124,122.0,4,1700.0,,perfect,perfect,"(196, 157, 252)",1,0
110,Kiwi,front,day_05,VIS,Kiwi/VIS/day_05/kiwi_day_05_08_front.hdr,Kiwi/VIS/day_05/kiwi_day_05_08_front.bin,110,124,122.0,4,1700.0,,perfect,perfect,"(239, 234, 224)",1,0
111,Kiwi,back,day_05,VIS,Kiwi/VIS/day_05/kiwi_day_05_08_back.hdr,Kiwi/VIS/day_05/kiwi_day_05_08_back.bin,111,124,122.0,4,1700.0,,perfect,perfect,"(240, 231, 224)",1,0
112,Kiwi,front,day_05,VIS,Kiwi/VIS/day_05/kiwi_day_05_32_front.hdr,Kiwi/VIS/day_05/kiwi_day_05_32_front.bin,112,125,123.0,4,1500.0,near ripe,unripe,unripe,"(221, 256, 224)",0,0
113,Kiwi,front,day_05,NIR,Kiwi/NIR/day_05/kiwi_day_05_37_front.hdr,Kiwi/NIR/day_05/kiwi_day_05_37_front.bin,113,129,127.0,4,1750.0,,unripe,unripe,"(204, 158, 252)",0,0
114,Kiwi,front,day_05,VIS,Kiwi/VIS/day_05/kiwi_day_05_37_front.hdr,Kiwi/VIS/day_05/kiwi_day_05_37_front.bin,114,129,127.0,4,1750.0,,unripe,unripe,"(237, 232, 224)",0,0
115,Kiwi,back,day_05,NIR,Kiwi/NIR/day_05/kiwi_day_05_37_back.hdr,Kiwi/NIR/day_05/kiwi_day_05_37_back.bin,115,129,127.0,4,1750.0,,unripe,unripe,"(200, 152, 252)",0,0
116,Kiwi,back,day_05,VIS,Kiwi/VIS/day_05/kiwi_day_05_37_back.hdr,Kiwi/VIS/day_05/kiwi_day_05_37_back.bin,116,129,127.0,4,1750.0,,unripe,unripe,"(237, 228, 224)",0,0
117,Avocado,front,day_06,NIR,Avocado/NIR/day_06/avocado_day_06_06_front.hdr,Avocado/NIR/day_06/avocado_day_06_06_front.bin,117,234,215.0,5,900.0,,perfect,perfect,"(305, 194, 252)",1,0
